date, temp_min, temp_max
19100101, 20.8, 36.9
19100102, 28.1, 37.2
19100103, 22.8, 36.4
19100104, 21.2, 37.4
19100105, 28.2, 40.2
19100106, 26.6, 38.5
19100107, 22.4, 36.4
19100108, 21.8, 35.6
19100109, 17.6, 32.6
19100110, 17.0, 22.6
19100111, 12.9, 24.7
19100112, 13.1, 24.2
19100113, 14.8, 27.3
19100114, 16.4, 25.3
19100115, 14.5, 25.4
19100116, 15.2, 23.6
19100117, 10.5, 27.4
19100118, 12.0, 33.3
19100119, 16.7, 24.7
19100120, 16.9, 24.1
19100121, 13.3, 24.6
19100122, 10.8, 25.3
19100123, 10.7, 30.8
19100124, 15.9, 35.9
19100125, 20.5, 41.0
19100126, 21.8, 40.2
19100127, 18.9, 31.6
19100128, 14.0, 33.8
19100129, 20.8, 34.0
19100130, 21.7, 34.8
19100131, 17.2, 34.3
19100201, 23.1, 36.0
19100202, 19.9, 37.0
19100203, 15.4, 29.3
19100204, 15.2, 23.4
19100205, 14.4, 24.1
19100206, 13.9, 24.1
19100207, 14.3, 24.7
19100208, 13.3, 24.7
19100209, 10.0, 24.3
19100210, 11.1, 29.3
19100211, 11.6, 26.2
19100212, 12.9, 29.1
19100213, 17.3, 33.8
19100214, 16.7, 36.0
19100215, 22.7, 39.4
19100216, 22.9, 41.1
19100217, 19.1, 39.0
19100218, 18.7, 38.1
19100219, 24.2, 41.4
19100220, 27.6, 40.2
19100221, 22.7, 38.4
19100222, 25.4, 34.3
19100223, 20.0, 29.1
19100224, 16.3, 30.5
19100225, 15.4, 28.4
19100226, 11.3, 29.5
19100227, 15.1, 33.6
19100228, 19.1, 34.2
19100301, 14.2, 26.9
19100302, 14.6, 24.9
19100303, 13.0, 28.9
19100304, 17.8, 22.1
19100305, 16.2, 17.2
19100306, 15.4, 17.2
19100307, 16.1, 18.2
19100308, 13.0, 21.4
19100309, 12.0, 19.9
19100310, 9.7, 19.9
19100311, 10.9, 25.6
19100312, 12.0, 25.3
19100313, 12.0, 21.2
19100314, 13.0, 20.7
19100315, 10.0, 20.4
19100316, 9.9, 21.9
19100317, 9.9, 26.0
19100318, 13.8, 30.7
19100319, 14.2, 29.3
19100320, 13.0, 30.7
19100321, 16.2, 31.2
19100322, 18.3, 33.6
19100323, 21.8, 34.0
19100324, 19.3, 35.0
19100325, 19.7, 32.7
19100326, 13.8, 23.4
19100327, 13.7, 26.9
19100328, 14.5, 32.5
19100329, 19.0, 34.5
19100330, 18.8, 32.4
19100331, 18.0, 24.3
19100401, 12.4, 23.3
19100402, 10.8, 20.3
19100403, 7.5, 19.3
19100404, 7.0, 21.0
19100405, 12.6, 26.3
19100406, 16.3, 29.3
19100407, 16.4, 27.7
19100408, 12.8, 27.7
19100409, 12.3, 27.3
19100410, 10.1, 23.0
19100411, 7.0, 23.7
19100412, 10.8, 21.4
19100413, 7.0, 21.4
19100414, 7.5, 21.8
19100415, 11.0, 23.0
19100416, 8.6, 23.3
19100417, 9.1, 25.1
19100418, 10.5, 22.6
19100419, 5.8, 21.6
19100420, 6.6, 24.9
19100421, 14.2, 23.2
19100422, 12.5, 29.1
19100423, 12.5, 21.4
19100424, 8.8, 22.3
19100425, 12.4, 26.7
19100426, 9.9, 19.5
19100427, 4.9, 20.8
19100428, 12.4, 23.1
19100429, 10.5, 18.2
19100430, 7.8, 20.0
19100501, 99999.9, 99999.9
19100502, 99999.9, 99999.9
19100503, 99999.9, 99999.9
19100504, 99999.9, 99999.9
19100505, 99999.9, 99999.9
19100506, 99999.9, 99999.9
19100507, 99999.9, 99999.9
19100508, 99999.9, 99999.9
19100509, 99999.9, 99999.9
19100510, 99999.9, 99999.9
19100511, 99999.9, 99999.9
19100512, 99999.9, 99999.9
19100513, 99999.9, 99999.9
19100514, 99999.9, 99999.9
19100515, 99999.9, 99999.9
19100516, 99999.9, 99999.9
19100517, 99999.9, 99999.9
19100518, 99999.9, 99999.9
19100519, 99999.9, 99999.9
19100520, 99999.9, 99999.9
19100521, 99999.9, 99999.9
19100522, 99999.9, 99999.9
19100523, 99999.9, 99999.9
19100524, 99999.9, 99999.9
19100525, 99999.9, 99999.9
19100526, 99999.9, 99999.9
19100527, 99999.9, 99999.9
19100528, 99999.9, 99999.9
19100529, 99999.9, 99999.9
19100530, 99999.9, 99999.9
19100531, 99999.9, 99999.9
19100601, 99999.9, 99999.9
19100602, 8.0, 14.0
19100603, 7.0, 13.4
19100604, 5.3, 12.1
19100605, 6.1, 15.0
19100606, 2.7, 15.4
19100607, 8.6, 16.3
19100608, 7.0, 16.5
19100609, 10.7, 15.0
19100610, 8.6, 14.6
19100611, 8.9, 16.0
19100612, 8.0, 15.9
19100613, 10.8, 17.7
19100614, 8.7, 15.9
19100615, 3.5, 14.5
19100616, 9.0, 17.7
19100617, 11.3, 17.4
19100618, 8.9, 17.4
19100619, 6.1, 18.2
19100620, 11.6, 17.7
19100621, 10.5, 17.8
19100622, 7.0, 15.2
19100623, 7.4, 15.9
19100624, 6.1, 14.1
19100625, 8.0, 15.3
19100626, 8.0, 13.4
19100627, 8.0, 15.4
19100628, 9.8, 17.8
19100629, 10.7, 16.3
19100630, 7.4, 18.1
19100701, 11.3, 17.5
19100702, 7.4, 12.3
19100703, 7.7, 14.6
19100704, 9.5, 15.2
19100705, 6.9, 12.3
19100706, 8.3, 13.6
19100707, 8.3, 14.5
19100708, 8.2, 14.0
19100709, 6.1, 13.2
19100710, 7.7, 14.1
19100711, 8.3, 16.4
19100712, 8.3, 17.9
19100713, 8.8, 15.3
19100714, 9.5, 14.7
19100715, 5.4, 13.2
19100716, 3.3, 12.7
19100717, 3.5, 14.4
19100718, 1.4, 14.4
19100719, 2.6, 13.8
19100720, 2.2, 13.1
19100721, 6.1, 14.1
19100722, 8.2, 15.5
19100723, 10.5, 14.6
19100724, 8.3, 13.1
19100725, 2.5, 13.1
19100726, 3.7, 14.1
19100727, 7.7, 10.9
19100728, 6.9, 13.7
19100729, 10.8, 15.7
19100730, 8.2, 16.7
19100731, 8.8, 12.1
19100801, 6.3, 15.2
19100802, 5.9, 15.3
19100803, 4.8, 15.3
19100804, 8.4, 15.3
19100805, 7.0, 16.2
19100806, 9.6, 17.6
19100807, 5.3, 19.3
19100808, 7.3, 16.6
19100809, 8.8, 13.9
19100810, 9.4, 17.2
19100811, 9.7, 17.3
19100812, 8.2, 19.2
19100813, 8.4, 20.1
19100814, 10.4, 20.8
19100815, 10.8, 23.3
19100816, 10.7, 16.4
19100817, 9.2, 18.0
19100818, 10.1, 16.6
19100819, 9.3, 16.1
19100820, 8.4, 17.6
19100821, 8.2, 15.5
19100822, 8.3, 18.3
19100823, 7.0, 20.8
19100824, 10.2, 16.3
19100825, 6.3, 15.3
19100826, 8.2, 15.3
19100827, 4.1, 18.0
19100828, 9.6, 20.8
19100829, 12.1, 20.4
19100830, 11.5, 20.8
19100831, 8.8, 16.3
19100901, 7.5, 18.7
19100902, 8.7, 20.2
19100903, 12.1, 18.3
19100904, 9.7, 18.2
19100905, 10.5, 17.6
19100906, 10.5, 18.2
19100907, 10.0, 18.7
19100908, 10.0, 21.5
19100909, 13.7, 21.3
19100910, 11.0, 15.7
19100911, 11.0, 16.9
19100912, 8.9, 16.5
19100913, 6.7, 18.7
19100914, 9.1, 16.8
19100915, 12.0, 15.7
19100916, 9.6, 14.2
19100917, 9.6, 16.5
19100918, 7.8, 17.1
19100919, 10.7, 16.8
19100920, 10.0, 16.4
19100921, 7.6, 18.7
19100922, 8.2, 19.0
19100923, 6.9, 23.3
19100924, 10.9, 27.5
19100925, 16.2, 21.1
19100926, 10.3, 16.4
19100927, 5.0, 15.3
19100928, 7.5, 16.0
19100929, 6.7, 17.7
19100930, 11.0, 21.1
19101001, 13.7, 17.0
19101002, 8.1, 14.7
19101003, 10.6, 15.0
19101004, 7.5, 15.3
19101005, 4.8, 14.8
19101006, 3.9, 15.1
19101007, 3.9, 14.8
19101008, 6.2, 15.4
19101009, 5.3, 12.1
