date, temp_min, temp_max
19490603, 14.0, 20.7
19490604, 2.7, 14.5
19490605, 10.7, 18.8
19490606, 5.6, 21.4
19490607, 7.2, 20.8
19490608, 6.4, 20.7
19490609, 12.5, 21.1
19490610, 13.3, 17.3
19490611, 13.2, 22.2
19490612, 5.6, 18.7
19490613, 5.5, 16.7
19490614, 10.7, 20.4
19490615, 10.2, 21.6
19490616, 13.7, 20.3
19490617, 14.0, 17.3
19490618, 9.5, 19.0
19490619, 10.2, 18.6
19490620, 12.1, 19.7
19490621, 9.2, 17.5
19490622, 5.5, 14.0
19490623, 2.6, 17.2
19490624, 2.4, 18.9
19490625, 1.1, 18.8
19490626, 0.9, 19.6
19490627, 3.3, 20.4
19490628, 5.5, 21.4
19490629, 2.7, 19.9
19490630, 3.5, 20.2
19490701, 4.0, 21.5
19490702, 4.9, 20.6
19490703, 5.1, 20.7
19490704, 4.3, 22.7
19490705, 4.9, 22.2
19490706, 3.0, 21.1
19490707, 1.2, 22.5
19490708, 5.3, 20.3
19490709, 8.8, 20.1
19490710, 7.7, 20.3
19490711, 5.3, 18.7
19490712, 8.8, 18.7
19490713, 9.5, 19.8
19490714, 11.6, 18.5
19490715, 11.3, 19.8
19490716, 11.4, 19.1
19490717, 10.7, 18.2
19490718, 12.2, 20.6
19490719, 1.9, 13.2
19490720, -0.9, 16.0
19490721, 4.9, 18.0
19490722, 2.0, 18.9
19490723, 2.8, 19.1
19490724, 10.7, 19.1
19490725, 8.0, 17.4
19490726, 10.7, 19.7
19490727, 8.7, 20.1
19490728, 3.0, 19.8
19490729, 2.9, 21.5
19490730, 2.9, 21.0
19490731, 3.2, 21.5
19490801, 2.9, 21.0
19490802, 2.9, 21.3
19490803, 3.0, 18.7
19490804, 6.2, 19.9
19490805, 4.3, 19.7
19490806, 9.3, 20.7
19490807, 6.2, 21.0
19490808, 8.6, 19.6
19490809, 12.3, 20.6
19490810, 9.2, 21.5
19490811, 8.6, 22.9
19490812, 8.3, 20.3
19490813, 11.9, 20.4
19490814, 10.6, 18.0
19490815, 7.6, 21.3
19490816, 9.2, 20.9
19490817, 5.3, 20.7
19490818, 4.7, 19.4
19490819, 5.6, 20.4
19490820, 6.2, 23.4
19490821, 5.6, 22.0
19490822, 12.3, 20.9
19490823, 9.3, 23.1
19490824, 11.5, 22.4
19490825, 11.1, 21.8
19490826, 3.9, 18.9
19490827, 1.6, 19.1
19490828, 4.2, 22.6
19490829, 10.8, 21.8
19490830, 9.9, 21.0
19490831, 11.1, 21.0
19490901, 7.8, 21.6
19490902, 5.8, 22.2
19490903, 11.1, 21.9
19490904, 9.2, 22.4
19490905, 11.7, 21.0
19490906, 13.8, 22.2
19490907, 12.9, 22.4
19490908, 15.9, 22.3
19490909, 16.9, 24.0
19490910, 17.4, 22.1
19490911, 15.7, 25.5
19490912, 12.0, 22.7
19490913, 11.6, 20.1
19490914, 7.9, 20.5
19490915, 7.8, 23.7
19490916, 14.4, 24.4
19490917, 7.4, 20.9
19490918, 4.9, 21.8
19490919, 8.2, 23.1
19490920, 8.8, 20.5
19490921, 10.0, 21.5
19490922, 9.3, 22.5
19490923, 10.5, 23.7
19490924, 11.6, 25.1
19490925, 12.0, 22.3
19490926, 5.9, 22.1
19490927, 8.2, 23.0
19490928, 8.8, 22.2
19490929, 14.4, 21.3
19490930, 11.6, 22.2
19491001, 14.6, 19.6
19491002, 12.4, 23.5
19491003, 12.9, 23.3
19491004, 14.6, 24.0
19491005, 16.7, 26.0
19491006, 17.7, 29.3
19491007, 14.6, 24.4
19491008, 15.6, 19.8
19491009, 14.4, 21.7
19491010, 17.7, 23.7
19491011, 17.9, 26.1
19491012, 17.7, 28.8
19491013, 19.6, 29.2
19491014, 18.6, 28.6
19491015, 20.5, 23.3
19491016, 19.4, 27.9
19491017, 12.9, 25.6
19491018, 14.7, 25.3
19491019, 15.6, 24.9
19491020, 14.6, 25.5
19491021, 15.8, 25.8
19491022, 16.5, 25.3
19491023, 18.7, 26.1
19491024, 17.3, 21.5
19491025, 16.2, 21.9
19491026, 16.1, 27.0
19491027, 19.0, 28.0
19491028, 18.3, 27.8
19491029, 18.7, 26.9
19491030, 20.2, 26.8
19491031, 20.2, 30.8
19491101, 19.5, 26.5
19491102, 14.2, 28.6
19491103, 13.5, 30.3
19491104, 16.3, 23.1
19491105, 9.6, 25.2
19491106, 11.4, 24.4
19491107, 15.5, 23.8
19491108, 17.7, 23.6
19491109, 14.3, 24.5
19491110, 12.3, 24.6
19491111, 13.5, 24.5
19491112, 15.0, 24.8
19491113, 18.2, 27.6
19491114, 17.9, 26.3
19491115, 19.4, 26.2
19491116, 16.3, 25.8
19491117, 16.9, 25.9
19491118, 18.3, 26.7
19491119, 20.0, 27.1
19491120, 20.0, 27.5
19491121, 22.1, 27.0
19491122, 20.9, 26.3
19491123, 21.5, 27.6
19491124, 21.6, 30.3
19491125, 19.7, 28.8
19491126, 20.0, 26.5
19491127, 20.0, 25.4
19491128, 20.1, 26.8
19491129, 19.7, 27.4
19491130, 17.6, 27.1
19491201, 16.2, 24.9
19491202, 16.8, 25.0
19491203, 15.1, 25.7
19491204, 13.9, 26.9
19491205, 14.2, 28.5
19491206, 18.7, 29.0
19491207, 19.3, 28.7
19491208, 22.1, 28.0
19491209, 20.4, 28.9
19491210, 17.6, 24.9
19491211, 14.8, 26.0
19491212, 16.3, 29.0
19491213, 18.8, 28.5
19491214, 20.4, 28.6
19491215, 17.6, 27.9
19491216, 16.8, 23.7
19491217, 16.3, 25.4
19491218, 16.8, 26.7
19491219, 19.2, 26.9
19491220, 18.9, 29.7
19491221, 20.4, 33.5
19491222, 16.4, 25.9
19491223, 16.7, 26.8
19491224, 16.7, 27.4
19491225, 16.7, 31.4
19491226, 21.1, 28.5
19491227, 19.6, 28.8
19491228, 20.4, 29.0
19491229, 23.2, 29.4
19491230, 23.2, 29.0
19491231, 21.5, 29.6
19500101, 22.3, 29.2
19500102, 19.3, 28.4
19500103, 23.1, 30.7
19500104, 22.5, 29.4
19500105, 22.4, 28.8
19500106, 20.8, 29.2
19500107, 19.9, 29.2
19500108, 22.3, 28.0
19500109, 20.3, 30.4
19500110, 24.6, 31.4
19500111, 21.3, 27.0
19500112, 16.7, 27.0
19500113, 20.3, 27.8
19500114, 21.0, 28.2
19500115, 19.2, 29.2
19500116, 20.8, 27.8
19500117, 22.4, 28.4
19500118, 20.8, 26.6
19500119, 22.7, 29.3
19500120, 19.9, 31.6
19500121, 17.7, 29.8
19500122, 19.9, 28.0
19500123, 20.3, 29.6
19500124, 20.3, 28.6
19500125, 20.0, 28.8
19500126, 22.7, 30.7
19500127, 20.8, 29.2
19500128, 20.8, 26.1
19500129, 15.8, 26.9
19500130, 16.1, 27.1
19500131, 16.3, 27.3
