date, temp_min, temp_max
19100101, 19.6, 30.5
19100102, 21.9, 29.0
19100103, 21.4, 29.5
19100104, 21.0, 29.7
19100105, 21.4, 29.9
19100106, 21.4, 29.7
19100107, 19.5, 27.8
19100108, 20.6, 28.3
19100109, 20.5, 28.1
19100110, 22.1, 27.7
19100111, 21.5, 30.4
19100112, 21.6, 31.9
19100113, 22.7, 30.1
19100114, 22.8, 31.4
19100115, 22.7, 31.9
19100116, 22.6, 33.0
19100117, 22.7, 33.1
19100118, 23.5, 33.2
19100119, 22.7, 33.2
19100120, 22.8, 32.8
19100121, 23.0, 33.2
19100122, 22.8, 32.1
19100123, 21.0, 32.4
19100124, 20.6, 29.6
19100125, 22.7, 27.7
19100126, 22.7, 26.0
19100127, 22.1, 26.9
19100128, 22.3, 28.0
19100129, 23.5, 32.4
19100130, 25.2, 35.2
19100131, 22.3, 28.9
19100201, 23.4, 99999.9
19100202, 22.4, 31.3
19100203, 22.4, 30.0
19100204, 22.4, 27.8
19100205, 22.3, 30.9
19100206, 20.6, 30.9
19100207, 22.6, 30.8
19100208, 22.0, 29.7
19100209, 22.0, 30.3
19100210, 21.5, 31.1
19100211, 22.4, 32.2
19100212, 22.6, 32.1
19100213, 22.4, 31.8
19100214, 22.0, 28.9
19100215, 19.9, 27.6
19100216, 20.7, 26.7
19100217, 21.7, 28.5
19100218, 21.8, 28.9
19100219, 22.0, 29.8
19100220, 22.7, 27.8
19100221, 22.1, 26.4
19100222, 21.8, 26.7
19100223, 19.9, 27.6
19100224, 21.1, 26.9
19100225, 20.7, 26.5
19100226, 21.1, 29.1
19100227, 19.9, 29.1
19100228, 19.8, 30.0
19100301, 19.5, 31.4
19100302, 18.8, 32.3
19100303, 18.5, 32.3
19100304, 21.0, 28.7
19100305, 21.6, 30.9
19100306, 22.7, 31.4
19100307, 23.4, 32.0
19100308, 23.3, 32.1
19100309, 21.6, 32.0
19100310, 19.6, 31.5
19100311, 19.2, 32.3
19100312, 21.4, 32.3
19100313, 22.3, 32.8
19100314, 23.9, 33.2
19100315, 24.1, 31.8
19100316, 22.8, 31.5
19100317, 22.0, 29.8
19100318, 22.8, 30.6
19100319, 20.3, 29.5
19100320, 21.9, 31.4
19100321, 22.8, 32.3
19100322, 20.7, 27.0
19100323, 19.6, 26.8
19100324, 20.2, 25.9
19100325, 20.1, 26.6
19100326, 19.8, 26.5
19100327, 21.3, 28.6
19100328, 18.2, 29.0
19100329, 20.3, 28.6
